User,Time,Activity,Score
1,am,walking,4.24264
1,pm,walking,3.16228
1,am,meditation,2.23607
1,pm,meditation,1
1,am,walking,5
1,pm,walking,2.828427
1,am,meditation,3.60555
1,pm,meditation,2.23607
1,am,walking,4.24264
1,pm,walking,2.828427
1,am,meditation,2.23607
1,pm,meditation,1.414214
1,am,walking,5
1,pm,walking,3.16228
1,am,meditation,1.414214
1,pm,meditation,2
4,am,walking,2.23607
4,pm,walking,2.23607
4,am,meditation,1.414214
4,pm,meditation,1
4,am,walking,1
4,pm,walking,1
4,am,meditation,2.23607
4,pm,meditation,2.828427
4,am,walking,2
4,pm,walking,3.60555
4,am,meditation,1.414214
4,pm,meditation,1.414214
4,am,walking,3.16228
4,pm,walking,2.828427
4,am,meditation,2.828427
4,pm,meditation,2.23607
3,am,meditation,4.3477
3,am,walking,3.90321
3,pm,meditation,3.45338
3,pm,walking,4.06612
3,am,meditation,2.83609
3,am,walking,3.8361
3,pm,meditation,4.10545
3,pm,walking,4.5372
3,am,meditation,5
3,am,walking,4.37979
3,pm,meditation,2.67561
3,pm,walking,3.67399
3,am,meditation,3.16937
3,am,walking,2.6607
3,pm,meditation,1.79256
2,am,meditation,5
2,am,walking,4.472135955
2,pm,meditation,3.605551275
2,pm,walking,3.605551275
2,am,meditation,5
2,am,walking,2.828427125
2,pm,meditation,3.605551275
2,pm,walking,1.414213562
2,am,meditation,4.472135955
2,am,walking,2.236067977
2,pm,meditation,5
2,pm,walking,2.828427125
2,am,meditation,5
2,am,walking,4.472135955
2,pm,meditation,3.605551275
2,pm,walking,3.605551275
